Date,Open,High,Low,Close,Volume,TradeCount,WAP,HasGaps
20120628  22:50:00,132.65,132.66,132.6,132.6,630,139,132.62,False
20120628  22:55:00,132.6,132.61,132.55,132.6,974,84,132.573,False
20120628  23:00:00,132.59,132.6,132.55,132.56,566,42,132.565,False
20120628  23:05:00,132.56,132.59,132.54,132.55,577,41,132.563,False
20120628  23:10:00,132.55,132.6,132.54,132.56,316,72,132.562,False
20120628  23:15:00,132.55,132.56,132.53,132.53,122,14,132.543,False
20120628  23:20:00,132.53,132.61,132.53,132.56,97,39,132.573,False
20120628  23:25:00,132.56,132.64,132.55,132.64,195,51,132.592,False
20120628  23:30:00,132.6,132.67,132.6,132.65,342,43,132.657,False
20120628  23:35:00,132.65,132.68,132.65,132.66,177,30,132.677,False
20120628  23:40:00,132.68,132.68,132.66,132.67,79,18,132.67,False
20120628  23:45:00,132.67,132.67,132.65,132.66,65,30,132.663,False
20120628  23:50:00,132.67,132.67,132.66,132.66,30,8,132.669,False
20120628  23:55:00,132.65,132.68,132.65,132.68,66,19,132.67,False
