Date,Open,High,Low,Close,Volume,TradeCount,VWAP
2012-06-27 16:25:00,133.01,133.1,132.99,133.09,9865,2836,133.04
2012-06-27 16:30:00,133.08,133.15,132.99,133.01,13694,3928,133.063
2012-06-27 16:35:00,133.02,133.08,132.97,133.04,11515,3666,133.019
2012-06-27 16:40:00,133.05,133.05,132.84,132.94,15477,4651,132.9
2012-06-27 16:45:00,132.94,132.99,132.91,132.94,11668,3877,132.942
2012-06-27 16:50:00,132.94,132.97,132.87,132.91,8516,2899,132.925
2012-06-27 16:55:00,132.91,133.04,132.83,133.0,14286,4044,132.941
2012-06-27 17:00:00,133.0,133.07,132.97,133.04,8422,2494,133.027
2012-06-27 17:05:00,133.05,133.08,132.99,132.99,9731,3362,133.042
2012-06-27 17:10:00,132.99,133.02,132.78,132.79,17215,4502,132.919
2012-06-27 17:15:00,132.79,132.89,132.78,132.87,10679,2924,132.83
2012-06-27 17:20:00,132.87,132.91,132.81,132.85,11042,3023,132.862
2012-06-27 17:25:00,132.84,132.86,132.71,132.85,14375,4368,132.787
2012-06-27 17:30:00,132.85,132.97,132.85,132.97,13061,3530,132.922
2012-06-27 17:35:00,132.97,133.12,132.96,133.1,14474,3763,133.05
2012-06-27 17:40:00,133.08,133.22,133.05,133.15,13014,3588,133.154
2012-06-27 17:45:00,133.15,133.17,133.09,133.13,9576,2441,133.128
2012-06-27 17:50:00,133.13,133.14,133.06,133.09,4634,1631,133.093
2012-06-27 17:55:00,133.09,133.14,133.06,133.1,6276,2010,133.106
2012-06-27 18:00:00,133.11,133.21,133.09,133.2,6100,1759,133.154
2012-06-27 18:05:00,133.2,133.33,133.2,133.28,16928,4161,133.278
2012-06-27 18:10:00,133.3,133.32,133.23,133.24,6369,2240,133.275
2012-06-27 18:15:00,133.23,133.25,133.19,133.24,4300,1338,133.22
2012-06-27 18:20:00,133.24,133.27,133.22,133.24,3321,1152,133.24
2012-06-27 18:25:00,133.24,133.35,133.22,133.27,8803,2475,133.292
2012-06-27 18:30:00,133.27,133.28,133.15,133.18,8242,2386,133.21
2012-06-27 18:35:00,133.18,133.27,133.18,133.21,3879,1360,133.22
2012-06-27 18:40:00,133.22,133.31,133.2,133.25,4843,1492,133.258
2012-06-27 18:45:00,133.25,133.3,133.21,133.24,3618,1298,133.259
2012-06-27 18:50:00,133.24,133.32,133.23,133.28,3220,1039,133.262
2012-06-27 18:55:00,133.27,133.29,133.2,133.22,4221,1188,133.246
2012-06-27 19:00:00,133.22,133.26,133.17,133.25,7185,1895,133.216
2012-06-27 19:05:00,133.24,133.3,133.19,133.28,6430,2050,133.25
2012-06-27 19:10:00,133.28,133.33,133.25,133.28,5518,1577,133.296
2012-06-27 19:15:00,133.29,133.29,133.2,133.23,4939,1687,133.237
2012-06-27 19:20:00,133.23,133.25,133.13,133.14,9750,2792,133.183
2012-06-27 19:25:00,133.14,133.14,133.05,133.07,7985,2296,133.101
2012-06-27 19:30:00,133.07,133.07,133.02,133.03,6920,1876,133.043
2012-06-27 19:35:00,133.03,133.05,132.96,133.03,6468,1974,132.998
2012-06-27 19:40:00,133.03,133.09,133.01,133.04,4920,1304,133.049
2012-06-27 19:45:00,133.04,133.09,133.03,133.06,3399,1082,133.059
2012-06-27 19:50:00,133.06,133.08,132.93,132.93,8679,2209,132.999
2012-06-27 19:55:00,132.94,133.05,132.93,133.03,8965,2680,132.984
2012-06-27 20:00:00,133.04,133.08,132.98,132.99,5368,1663,133.037
2012-06-27 20:05:00,132.99,132.99,132.87,132.91,12589,3239,132.908
2012-06-27 20:10:00,132.91,132.95,132.85,132.86,6745,2039,132.907
2012-06-27 20:15:00,132.86,132.96,132.83,132.89,9059,2652,132.89
2012-06-27 20:20:00,132.88,132.98,132.88,132.92,4020,1444,132.938
2012-06-27 20:25:00,132.92,132.93,132.88,132.9,3734,1379,132.909
2012-06-27 20:30:00,132.89,133.0,132.85,132.98,7694,2409,132.943
2012-06-27 20:35:00,132.99,133.01,132.93,132.95,5536,1703,132.974
2012-06-27 20:40:00,132.94,132.95,132.9,132.94,3800,1288,132.92
2012-06-27 20:45:00,132.93,133.01,132.92,132.96,6227,1939,132.973
2012-06-27 20:50:00,132.96,133.05,132.95,132.96,5446,1818,132.996
2012-06-27 20:55:00,132.95,132.99,132.87,132.93,12063,2912,132.925
2012-06-27 21:00:00,132.92,132.97,132.89,132.89,6809,1996,132.93
2012-06-27 21:05:00,132.89,133.02,132.89,132.98,8520,2398,132.969
2012-06-27 21:10:00,132.98,133.17,132.97,133.14,14734,3631,133.108
2012-06-27 21:15:00,133.14,133.2,133.13,133.16,6783,2225,133.164
2012-06-27 21:20:00,133.17,133.29,133.16,133.23,12095,3142,133.24
2012-06-27 21:25:00,133.24,133.33,133.22,133.25,14464,3582,133.255
2012-06-27 21:30:00,133.27,133.29,133.2,133.26,13649,3622,133.247
2012-06-27 21:35:00,133.27,133.31,133.2,133.29,17735,4775,133.244
2012-06-27 21:40:00,133.29,133.43,133.24,133.28,31998,8276,133.314
2012-06-27 21:45:00,133.29,133.31,133.13,133.15,21927,5569,133.231
2012-06-27 21:50:00,133.15,133.2,133.05,133.08,15652,4961,133.129
2012-06-27 21:55:00,133.07,133.18,133.03,133.18,42417,9957,133.109
2012-06-27 22:00:00,133.18,133.24,131.97,133.17,31217,2435,133.073
2012-06-27 22:05:00,133.17,133.18,133.13,133.17,7243,1105,133.153
2012-06-27 22:10:00,133.16,133.26,133.13,133.19,4135,755,133.178
2012-06-27 22:15:00,133.18,133.29,133.1,133.16,1504,155,133.172
2012-06-27 22:20:00,133.16,133.17,133.13,133.17,555,60,133.156
2012-06-27 22:25:00,133.17,133.17,133.15,133.17,257,30,133.16
2012-06-27 22:30:00,133.16,133.25,133.16,133.25,737,57,133.185
2012-06-27 22:35:00,133.26,133.26,133.17,133.17,43,15,133.201
2012-06-27 22:40:00,133.17,133.17,133.15,133.15,59,9,133.157
2012-06-27 22:45:00,133.18,133.21,133.17,133.18,67,12,133.189
2012-06-27 22:50:00,133.18,133.18,133.13,133.13,55,11,133.159
2012-06-27 22:55:00,133.12,133.16,133.11,133.16,225,17,133.147
2012-06-27 23:00:00,133.14,133.15,133.13,133.14,179,21,133.139
2012-06-27 23:05:00,133.16,133.16,133.14,133.14,29,3,133.146
2012-06-27 23:10:00,133.16,133.16,133.1,133.11,66,19,133.127
2012-06-27 23:15:00,133.13,133.13,133.08,133.08,68,16,133.117
2012-06-27 23:20:00,133.11,133.13,133.1,133.1,75,11,133.104
2012-06-27 23:25:00,133.09,133.11,133.07,133.07,93,11,133.099
2012-06-27 23:30:00,133.07,133.07,133.07,133.07,0,0,133.07
2012-06-27 23:35:00,133.09,133.09,133.07,133.09,19,6,133.077
2012-06-27 23:40:00,133.1,133.1,133.08,133.08,6,5,133.093
2012-06-27 23:45:00,133.08,133.09,133.07,133.09,11,7,133.079
2012-06-27 23:50:00,133.09,133.09,133.08,133.08,5,2,133.088
2012-06-27 23:55:00,133.11,133.11,133.1,133.1,40,10,133.104
