Date,Open Price,High Price,Low Price,Close Price,Prev Close Price,Total Traded Quantity,Total Traded Value,52 Week High Price,52 Week Low Price,VWAP,Deliverable Volume,Deliverable Percent,Series
2021-01-20,3270.0,3327.95,3267.1,3308.8,3260.7,3453446,11413530807.3,3327.95,1506.05,3304.97,1498128,43.38,EQ
2021-01-21,3305.0,3309.15,3262.1,3273.85,3308.8,2778546,9118852661.7,3327.95,1506.05,3281.88,1222458,44.0,EQ
2021-01-22,3241.9,3325.0,3241.9,3303.1,3273.85,3052459,10073163825.5,3327.95,1506.05,3300.02,1419347,46.5,EQ
2021-01-25,3308.95,3339.8,3278.65,3291.3,3303.1,2272887,7532889906.35,3339.8,1506.05,3314.24,1208668,53.18,EQ
2021-01-27,3300.0,3306.45,3227.0,3261.05,3291.3,2786662,9099782354.05,3339.8,1506.05,3265.48,1396514,50.11,EQ
2021-01-28,3230.0,3275.0,3183.8,3196.55,3261.05,3083938,9934065466.35,3339.8,1506.05,3221.23,1689185,54.77,EQ
2021-01-29,3210.05,3216.85,3100.0,3111.35,3196.55,5445659,17115646045.4,3339.8,1506.05,3142.99,3601765,66.14,EQ
2021-02-01,3100.0,3165.0,3044.1,3139.35,3111.35,3985846,12348318212.8,3339.8,1506.05,3098.04,2125201,53.32,EQ
2021-02-02,3174.0,3224.0,3150.0,3203.45,3139.35,2881837,9214282428.1,3339.8,1506.05,3197.36,1461083,50.7,EQ
2021-02-03,3213.0,3236.0,3162.65,3200.05,3203.45,2505866,8042581723.8,3339.8,1506.05,3209.5,916858,36.59,EQ
2021-02-04,3216.05,3237.85,3176.0,3188.45,3200.05,2057261,6580160004.75,3339.8,1506.05,3198.51,994481,48.34,EQ
2021-02-05,3198.95,3205.85,3129.0,3157.95,3188.45,2366135,7464932897.55,3339.8,1506.05,3154.91,992928,41.96,EQ
2021-02-08,3189.5,3226.0,3155.15,3214.1,3157.95,2526592,8062547697.85,3339.8,1506.05,3191.08,1160977,45.95,EQ
2021-02-09,3195.0,3245.8,3164.0,3176.9,3214.1,2658751,8541775943.25,3339.8,1506.05,3212.7,1305574,49.1,EQ
2021-02-10,3185.0,3219.4,3157.3,3213.3,3176.9,2127983,6803289931.0,3339.8,1506.05,3197.06,713331,33.52,EQ
2021-02-11,3215.0,3219.3,3185.05,3206.0,3213.3,1165882,3732884248.7,3339.8,1506.05,3201.77,466871,40.04,EQ
2021-02-12,3184.2,3245.5,3182.0,3190.8,3206.0,2777404,8929253698.3,3339.8,1506.05,3214.96,872187,31.4,EQ
2021-02-15,3209.0,3209.0,3131.55,3139.85,3190.8,2630853,8305069201.35,3339.8,1506.05,3156.8,1214830,46.18,EQ
2021-02-16,3150.0,3167.65,3100.0,3108.8,3139.85,3435770,10729849665.9,3339.8,1506.05,3122.98,1651579,48.07,EQ
2021-02-17,3105.1,3132.85,3045.55,3073.1,3108.8,3678426,11318262125.1,3339.8,1506.05,3076.93,1516981,41.24,EQ
2021-02-18,3065.0,3097.9,3031.0,3057.35,3073.1,4189909,12812510327.0,3339.8,1506.05,3057.94,2042317,48.74,EQ
2021-02-19,3058.0,3087.15,3016.15,3071.85,3057.35,3725028,11352887527.85,3339.8,1506.05,3047.73,1878814,50.44,EQ
2021-02-22,3096.0,3096.0,2943.15,2958.45,3071.85,5366696,16096121002.2,3339.8,1506.05,2999.26,2809615,52.35,EQ
2021-02-23,2970.0,3028.0,2968.0,2980.2,2958.45,3832829,11484513631.45,3339.8,1506.05,2996.35,1770672,46.2,EQ
2021-02-24,2972.0,3003.35,2921.15,2948.1,2980.2,3774549,11120081886.95,3339.8,1506.05,2946.07,2336704,61.91,EQ
2021-02-25,2974.0,3029.9,2968.45,2995.3,2948.1,4224073,12674849320.45,3339.8,1506.05,3000.62,2152055,50.95,EQ
2021-02-26,2960.0,2972.35,2880.0,2894.3,2995.3,5553153,16196777082.55,3339.8,1506.05,2916.68,2860279,51.51,EQ
2021-03-01,2926.0,2965.0,2901.8,2924.2,2894.3,3265871,9567012658.35,3339.8,1506.05,2929.39,1676148,51.32,EQ
2021-03-02,2960.0,3025.0,2948.0,3006.35,2924.2,3306469,9858560232.35,3339.8,1506.05,2981.6,1407212,42.56,EQ
2021-03-03,3035.0,3064.0,2996.9,3059.1,3006.35,3509857,10656315248.05,3339.8,1506.05,3036.11,2032166,57.9,EQ
2021-03-04,3023.0,3081.45,3016.05,3049.7,3059.1,3916760,11980483432.05,3339.8,1506.05,3058.77,2035315,51.96,EQ
2021-03-05,3016.1,3063.2,2996.6,3008.05,3049.7,3203686,9719719834.1,3339.8,1506.05,3033.92,1390830,43.41,EQ
2021-03-08,3016.0,3033.0,2996.0,3006.95,3008.05,2003125,6042702431.75,3339.8,1506.05,3016.64,842670,42.07,EQ
2021-03-09,3006.95,3066.9,2992.1,3050.95,3006.95,1942397,5873698965.55,3339.8,1506.05,3023.94,1020339,52.53,EQ
2021-03-10,3075.0,3093.2,3060.0,3070.95,3050.95,3053778,9397359901.3,3339.8,1506.05,3077.29,1631893,53.44,EQ
2021-03-12,3075.0,3117.0,3041.35,3057.95,3070.95,2938317,9062343314.4,3339.8,1506.05,3084.2,1465667,49.88,EQ
2021-03-15,3041.0,3099.0,3041.0,3066.15,3057.95,3097140,9507410762.3,3339.8,1546.75,3069.74,1677136,54.15,EQ
2021-03-16,3060.0,3141.0,3060.0,3110.05,3066.15,4894756,15242817601.8,3339.8,1546.75,3114.11,2441085,49.87,EQ
2021-03-17,3105.0,3155.0,3085.3,3112.95,3110.05,3838390,12014711142.05,3339.8,1546.75,3130.14,1776834,46.29,EQ
2021-03-18,3125.95,3146.45,2987.05,3036.5,3112.95,3656306,11274828058.35,3339.8,1546.75,3083.67,1670043,45.68,EQ
2021-03-19,3030.0,3099.0,3005.0,3050.2,3036.5,5776626,17613985029.65,3339.8,1546.75,3049.18,3138698,54.33,EQ
2021-03-22,3048.7,3139.45,3018.65,3129.65,3050.2,2821646,8707678923.1,3339.8,1617.75,3086.03,1165276,41.3,EQ
2021-03-23,3140.0,3169.0,3122.85,3142.6,3129.65,3305973,10408299726.9,3339.8,1617.75,3148.33,1615396,48.86,EQ
2021-03-24,3111.2,3152.3,3111.15,3121.1,3142.6,2207104,6909631859.0,3339.8,1617.75,3130.63,930779,42.17,EQ
2021-03-25,3112.2,3130.85,3050.0,3064.85,3121.1,3179786,9829064107.9,3339.8,1617.75,3091.11,1567362,49.29,EQ
2021-03-26,3090.65,3118.0,3043.05,3066.8,3064.85,3697370,11384084592.3,3339.8,1617.75,3078.97,1512152,40.9,EQ
2021-03-30,3083.0,3188.45,3060.9,3158.55,3066.8,4694261,14738334444.25,3339.8,1650.0,3139.65,2277177,48.51,EQ
2021-03-31,3155.0,3205.0,3132.0,3177.85,3158.55,3530069,11218135153.05,3339.8,1650.0,3177.88,1236712,35.03,EQ
2021-04-01,3191.1,3215.0,3145.0,3165.0,3177.85,4285076,13619743474.75,3339.8,1650.0,3178.41,2256615,52.66,EQ
2021-04-05,3171.0,3263.0,3151.0,3238.9,3165.0,5317862,17053050939.6,3339.8,1675.05,3206.75,2518855,47.37,EQ
2021-04-06,3275.0,3275.0,3230.0,3264.7,3238.9,2291562,7457570557.4,3339.8,1675.05,3254.36,834510,36.42,EQ
2021-04-07,3259.0,3277.55,3234.8,3271.4,3264.7,2491268,8116666257.7,3339.8,1675.05,3258.05,1125695,45.19,EQ
2021-04-08,3270.0,3335.0,3266.05,3317.35,3271.4,2578118,8543956094.1,3339.8,1675.05,3314.03,987260,38.29,EQ
2021-04-09,3354.0,3354.35,3308.0,3322.25,3317.35,2911129,9686422200.65,3354.35,1675.05,3327.38,1043656,35.85,EQ
2021-04-12,3322.25,3338.1,3213.2,3246.55,3322.25,3791828,12419018301.0,3354.35,1675.05,3275.21,1329121,35.05,EQ
2021-04-13,3214.0,3214.0,3073.05,3104.05,3246.55,8654596,26968883551.05,3354.35,1675.05,3116.13,3104217,35.87,EQ
2021-04-15,3160.3,3237.25,3087.45,3218.95,3104.05,6062760,19207655907.6,3354.35,1675.05,3168.14,3038656,50.12,EQ
2021-04-16,3229.0,3247.0,3182.6,3195.15,3218.95,3224657,10348287512.6,3354.35,1675.05,3209.11,1401641,43.47,EQ
2021-04-19,3169.0,3189.0,3135.1,3161.8,3195.15,2679106,8477031167.55,3354.35,1719.15,3164.13,1340909,50.05,EQ
2021-04-20,3225.0,3225.35,3126.35,3144.55,3161.8,3141893,9897843132.45,3354.35,1719.15,3150.28,1747537,55.62,EQ
2021-04-22,3148.0,3148.0,3105.25,3118.8,3144.55,1988980,6210380335.4,3354.35,1719.15,3122.39,1191717,59.92,EQ
2021-04-23,3105.0,3119.0,3091.05,3109.5,3118.8,1615309,5016930338.85,3354.35,1719.15,3105.86,772358,47.81,EQ
2021-04-26,3102.05,3153.0,3088.05,3100.8,3109.5,2490260,7775464961.2,3354.35,1825.0,3122.35,1345353,54.02,EQ
2021-04-27,3106.0,3136.1,3103.0,3132.0,3100.8,1471417,4594035861.35,3354.35,1825.0,3122.18,849767,57.75,EQ
2021-04-28,3149.95,3151.0,3112.0,3124.1,3132.0,1639037,5123175756.75,3354.35,1825.0,3125.72,847762,51.72,EQ
2021-04-29,3145.6,3157.35,3105.5,3115.25,3124.1,1621395,5076305907.85,3354.35,1825.0,3130.83,837567,51.66,EQ
2021-04-30,3099.0,3132.05,3020.0,3035.65,3115.25,3072305,9411056605.1,3354.35,1825.0,3063.19,1942473,63.23,EQ
2021-05-03,3024.9,3055.0,3004.0,3037.0,3035.65,1545831,4692605166.2,3354.35,1865.2,3035.65,636257,41.16,EQ
2021-05-04,3062.8,3090.0,3035.0,3049.75,3037.0,1990777,6094167595.3,3354.35,1865.2,3061.2,912440,45.83,EQ
2021-05-05,3070.0,3099.4,3052.4,3095.7,3049.75,1939289,5979255988.85,3354.35,1865.2,3083.22,1003404,51.74,EQ
2021-05-06,3105.5,3134.0,3074.0,3111.45,3095.7,1791671,5567213773.1,3354.35,1865.2,3107.27,831131,46.39,EQ
2021-05-07,3133.0,3159.85,3111.8,3132.9,3111.45,1912540,5999492210.4,3354.35,1865.2,3136.92,946390,49.48,EQ
2021-05-10,3145.95,3164.2,3125.0,3145.5,3132.9,2137153,6723356016.9,3354.35,1865.2,3145.94,1258111,58.87,EQ
2021-05-11,3125.0,3128.1,3091.15,3122.6,3145.5,2415625,7515102667.1,3354.35,1865.2,3111.04,1484826,61.47,EQ
2021-05-12,3120.0,3120.0,3070.6,3087.6,3122.6,1978558,6107329661.55,3354.35,1865.2,3086.76,1219688,61.65,EQ
2021-05-14,3098.5,3098.5,3040.0,3051.5,3087.6,2043935,6237862560.75,3354.35,1865.2,3051.89,1281535,62.7,EQ
2021-05-17,3055.0,3075.2,3036.0,3069.75,3051.5,2890462,8828642067.75,3354.35,1872.1,3054.41,1759849,60.88,EQ
2021-05-18,3100.0,3124.0,3078.0,3088.8,3069.75,2098538,6499442922.95,3354.35,1872.1,3097.13,1156834,55.13,EQ
2021-05-19,3084.0,3118.0,3067.1,3082.0,3088.8,1986041,6146847715.9,3354.35,1872.1,3095.03,1244083,62.64,EQ
2021-05-20,3067.1,3088.8,3052.1,3060.0,3082.0,2329027,7140693825.45,3354.35,1872.1,3065.96,1512325,64.93,EQ
2021-05-21,3061.0,3088.2,3055.1,3080.5,3060.0,1685566,5184715065.35,3354.35,1872.1,3075.95,1085313,64.39,EQ
2021-05-24,3081.5,3105.0,3072.0,3081.5,3080.5,1652260,5104527041.8,3354.35,1925.0,3089.42,896770,54.28,EQ
2021-05-25,3092.0,3128.25,3082.1,3114.0,3081.5,1841613,5730395912.55,3354.35,1925.0,3111.62,902281,48.99,EQ
2021-05-26,3120.0,3165.0,3103.8,3158.5,3114.0,1923753,6047145461.35,3354.35,1925.0,3143.41,937133,48.71,EQ
2021-05-27,3161.95,3217.75,3161.8,3180.0,3158.5,5959785,19006345222.15,3354.35,1925.0,3189.1,3733267,62.64,EQ
2021-05-28,3189.5,3198.0,3135.65,3143.6,3180.0,1763701,5575492889.05,3354.35,1925.0,3161.25,941310,53.37,EQ
2021-05-31,3150.0,3170.35,3128.6,3159.15,3143.6,1652799,5215439448.1,3354.35,1981.1,3155.52,731415,44.25,EQ
2021-06-01,3168.6,3169.95,3132.0,3153.0,3159.15,1377441,4336083044.9,3354.35,1981.1,3147.93,748839,54.36,EQ
2021-06-02,3150.85,3159.45,3115.0,3129.45,3153.0,2240078,7007134474.8,3354.35,1981.1,3128.08,1411614,63.02,EQ
2021-06-03,3154.55,3154.55,3122.65,3141.25,3129.45,1281706,4020300713.05,3354.35,1981.1,3136.68,617798,48.2,EQ
2021-06-04,3128.0,3156.85,3125.0,3143.75,3141.25,1836060,5766071003.15,3354.35,1981.1,3140.46,1117232,60.85,EQ
2021-06-07,3145.0,3190.45,3133.6,3183.2,3143.75,2559821,8082689475.7,3354.35,2000.95,3157.52,1587945,62.03,EQ
2021-06-08,3198.0,3231.0,3187.2,3200.15,3183.2,2574057,8270159545.55,3354.35,2000.95,3212.89,1314327,51.06,EQ
2021-06-09,3202.0,3220.0,3186.2,3200.25,3200.15,1710925,5478705691.35,3354.35,2000.95,3202.19,996569,58.25,EQ
2021-06-10,3210.0,3224.0,3193.0,3216.8,3200.25,1874324,6017589512.15,3354.35,2000.95,3210.54,1002378,53.48,EQ
2021-06-11,3211.55,3309.0,3211.0,3273.8,3216.8,3452954,11289168561.4,3354.35,2000.95,3269.42,1428491,41.37,EQ
2021-06-14,3279.0,3308.7,3270.35,3276.35,3273.8,1847360,6067799808.6,3354.35,2000.95,3284.58,925400,50.09,EQ
2021-06-15,3298.0,3298.0,3251.55,3262.75,3276.35,1304985,4273970422.6,3354.35,2000.95,3275.11,694189,53.2,EQ
2021-06-16,3262.1,3294.7,3253.0,3274.35,3262.75,1635552,5354077782.45,3354.35,2000.95,3273.56,973246,59.51,EQ
2021-06-17,3265.5,3336.05,3260.0,3317.75,3274.35,2273413,7492087861.65,3354.35,2000.95,3295.52,1308141,57.54,EQ
2021-06-18,3350.9,3358.0,3275.0,3297.3,3317.75,3380431,11197761791.3,3358.0,2000.95,3312.52,1857893,54.96,EQ
2021-06-21,3265.0,3286.0,3251.7,3273.1,3297.3,1130569,3697504601.3,3358.0,2009.25,3270.48,567529,50.2,EQ
2021-06-22,3304.0,3327.05,3285.0,3301.2,3273.1,1708688,5654751060.65,3358.0,2009.25,3309.41,960829,56.23,EQ
2021-06-23,3329.0,3329.0,3256.4,3261.4,3301.2,1467104,4808928707.9,3358.0,2009.25,3277.84,960116,65.44,EQ
2021-06-24,3284.0,3383.0,3278.5,3373.6,3261.4,4155204,13897853675.1,3383.0,2009.25,3344.69,1837245,44.22,EQ
2021-06-25,3375.25,3399.65,3350.0,3380.8,3373.6,2722861,9195412962.85,3399.65,2009.25,3377.11,1582890,58.13,EQ
2021-06-28,3391.5,3391.5,3333.0,3336.75,3380.8,1355238,4534249770.0,3399.65,2075.05,3345.72,669783,49.42,EQ
2021-06-29,3342.0,3366.3,3326.5,3340.85,3336.75,1497322,5007216160.85,3399.65,2075.05,3344.11,874417,58.4,EQ
2021-06-30,3346.0,3382.0,3338.5,3345.75,3340.85,1693146,5683548098.95,3399.65,2075.05,3356.8,958794,56.63,EQ
2021-07-01,3358.0,3362.0,3332.35,3341.5,3345.75,990310,3311427478.8,3399.65,2075.05,3343.83,590638,59.64,EQ
2021-07-02,3331.0,3339.7,3295.2,3325.45,3341.5,1682274,5571406774.65,3399.65,2075.05,3311.83,885899,52.66,EQ
2021-07-05,3342.0,3374.0,3302.0,3321.0,3325.45,1972858,6593560506.9,3399.65,2125.1,3342.14,981734,49.76,EQ
2021-07-06,3313.0,3328.0,3256.1,3262.3,3321.0,2159420,7094262857.45,3399.65,2125.1,3285.26,1052180,48.73,EQ
2021-07-07,3275.0,3282.7,3241.6,3274.95,3262.3,2640710,8621356119.05,3399.65,2125.1,3264.79,1398154,52.95,EQ
2021-07-08,3298.0,3298.0,3231.9,3258.5,3274.95,2485811,8114642972.35,3399.65,2125.1,3264.38,1154747,46.45,EQ
2021-07-09,3250.0,3282.0,3201.0,3208.15,3258.5,6365067,20574274921.25,3399.65,2125.1,3232.37,2125726,33.4,EQ
2021-07-12,3235.0,3236.0,3188.35,3193.1,3208.15,1892226,6079523668.95,3399.65,2125.1,3212.9,960804,50.78,EQ
2021-07-13,3214.0,3214.0,3175.0,3187.55,3193.1,1809339,5776498373.75,3399.65,2125.1,3192.6,1151250,63.63,EQ
2021-07-14,3187.0,3222.0,3185.0,3214.55,3187.55,2044279,6557620557.05,3399.65,2125.1,3207.79,1175668,57.51,EQ
2021-07-15,3227.6,3231.85,3194.0,3202.95,3214.55,2232968,7161160396.0,3399.65,2125.1,3207.01,1419357,63.56,EQ
2021-07-16,3213.0,3219.85,3192.0,3194.8,3202.95,1256526,4023879474.8,3399.65,2125.1,3202.38,762190,60.66,EQ
2021-07-19,3180.0,3199.8,3176.0,3184.6,3194.8,1597058,5087041968.65,3399.65,2125.1,3185.26,1033190,64.69,EQ
2021-07-20,3184.6,3215.0,3156.15,3205.8,3184.6,1811945,5775540904.05,3399.65,2125.1,3187.48,1090944,60.21,EQ
2021-07-22,3190.0,3224.95,3190.0,3216.35,3205.8,2859334,9184601700.55,3399.65,2125.1,3212.15,1999067,69.91,EQ
2021-07-23,3230.0,3241.55,3206.65,3212.85,3216.35,1776193,5729596471.6,3399.65,2125.1,3225.77,1119762,63.04,EQ
2021-07-26,3200.0,3224.25,3190.85,3197.55,3212.85,1259611,4037709192.05,3399.65,2163.5,3205.52,760050,60.34,EQ
