Date,Open Price,High Price,Low Price,Close Price,Prev Close Price,Total Traded Quantity,Total Traded Value,52 Week High Price,52 Week Low Price,VWAP,Deliverable Volume,Deliverable Percent,Series
2018-05-10,3699.0,3699.0,3630.0,3662.2,3691.85,15228,55817164.95,4494.0,2506.35,3665.43,8577,56.32,EQ
2018-05-11,3685.0,3695.0,3591.0,3608.85,3662.2,5120,18589139.3,4494.0,2506.35,3630.69,2330,45.51,EQ
2018-05-14,3640.0,3705.05,3550.05,3670.2,3608.85,26894,98128558.55,4494.0,2506.35,3648.72,14685,54.6,EQ
2018-05-15,3698.0,3698.0,3620.1,3637.75,3670.2,14372,52629035.0,4494.0,2506.35,3661.91,6252,43.5,EQ
2018-05-16,3635.0,3670.0,3561.65,3650.5,3637.75,12714,46100872.4,4494.0,2506.35,3625.99,5440,42.79,EQ
2018-05-17,3630.0,3670.0,3600.0,3623.5,3650.5,9886,35873838.7,4494.0,2506.35,3628.75,6155,62.26,EQ
2018-05-18,3601.05,3640.1,3527.0,3550.3,3623.5,76970,274303106.35,4494.0,2506.35,3563.77,65921,85.65,EQ
2018-05-21,3586.0,3586.0,3450.0,3469.15,3550.3,6542,22855524.15,4494.0,2506.35,3493.66,2706,41.36,EQ
2018-05-22,3490.0,3506.6,3411.05,3469.65,3469.15,6329,21941971.15,4494.0,2506.35,3466.89,2220,35.08,EQ
2018-05-23,3459.85,3467.2,3375.0,3391.4,3469.65,6907,23568172.9,4494.0,2506.35,3412.22,3029,43.85,EQ
2018-05-24,3430.0,3444.0,3380.1,3403.95,3391.4,5224,17806669.0,4494.0,2506.35,3408.63,1603,30.69,EQ
2018-05-25,3427.95,3480.0,3400.0,3416.15,3403.95,14126,48553269.8,4494.0,2506.35,3437.16,7283,51.56,EQ
2018-05-28,3435.05,3537.95,3375.0,3424.25,3416.15,31440,108248309.85,4494.0,2506.35,3443.01,14970,47.61,EQ
2018-05-29,3424.0,3454.85,3385.0,3408.85,3424.25,15071,51626715.0,4494.0,2506.35,3425.57,10701,71.0,EQ
2018-05-30,3407.95,3425.0,3391.75,3411.55,3408.85,5414,18453770.5,4494.0,2506.35,3408.53,2060,38.05,EQ
2018-05-31,3425.0,3433.25,3175.0,3251.45,3411.55,29274,95714826.75,4494.0,2506.35,3269.62,11542,39.43,EQ
2018-06-01,3309.95,3360.0,3250.0,3272.2,3251.45,13592,44912235.6,4494.0,2506.35,3304.31,4299,31.63,EQ
2018-06-04,3310.0,3325.0,3210.7,3230.9,3272.2,13807,44936368.75,4494.0,2506.35,3254.61,7002,50.71,EQ
2018-06-05,3230.0,3246.55,3150.0,3181.65,3230.9,13868,44193138.65,4494.0,2506.35,3186.7,7002,50.49,EQ
